id;names;date_x;score;genre;status;orig_lang;country
2942;Fucking Different XXX;02/08/2012;72.0;Drama; Released; English;DE
2943;The Babysitters;05/09/2008;59.0;Drama; Released; English;US
2944;Kimetsu Orchestra Concert;08/25/2021 ;81.0;Music; Released; Japanese;JP
2945;Bao;06/15/2018 ;76.0;Animation, Family, Fantasy; Released; English;US
2946;Blackhat;05/13/2015 ;55.0;Crime, Thriller, Action; Released; English;AU
2947;365 Days;06/09/2020;71.0;Romance, Drama; Released; Polish;AU
2948;Avengers Grimm;03/17/2015 ;40.0;Action, Fantasy; Released; English;US
2949;Lethal Weapon;05/28/1987 ;73.0;Adventure, Action, Comedy, Thriller, Crime; Released; English;AU
2950;One Piece: Clockwork Island Adventure;03/03/2001;70.0;Action, Animation, Adventure; Released; Japanese;JP
2951;They/Them;07/24/2022 ;51.0;Horror, Thriller; Released; English;US
2952;Hellraiser;10/22/1987 ;69.0;Horror, Thriller; Released; English;AU
2953;School of Rock;02/06/2004;71.0;Comedy, Music, Family; Released; English;AU
2954;Turbo: A Power Rangers Movie;03/27/1997 ;58.0;Action, Adventure, Family, Fantasy, Science Fiction; Released; English;US
2955;Gone in Sixty Seconds;08/06/2000;64.0;Action, Crime, Thriller; Released; English;AU
2956;The Empire of Corpses;10/02/2015;60.0;Animation, Mystery, Horror, Science Fiction; Released; Japanese;JP
2957;Unhinged;07/30/2020 ;64.0;Action, Thriller; Released; English;AU
2958;Batman Forever;06/29/1995 ;54.0;Action, Crime, Fantasy; Released; English;AU
2959;Woman with Pierced Nipples;04/15/1983 ;44.0;Drama; Released; Japanese;JP
2960;Home Alone 4;11/03/2002;45.0;Comedy, Family, TV Movie; Released; English;US
2961;Brokeback Mountain;01/26/2006 ;78.0;Drama, Romance; Released; English;AU
2962;Get the Gringo;05/24/2012 ;65.0;Action, Thriller, Crime, Drama; Released; English;AU
2963;Big Stan;06/06/2007;65.0;Comedy; Released; English;US
2964;Pitch Perfect 2;05/07/2015;69.0;Comedy, Music; Released; English;AU
2965;The Day of Swapping;07/10/2017;49.0;Romance; Released; Korean;KR
2966;Leprechaun: Back 2 tha Hood;12/30/2003 ;52.0;Horror, Comedy; Released; English;US
2967;Curse of the Blair Witch;07/11/1999;61.0;Horror, Thriller; Released; English;US
2968;Paddington;11/24/2014 ;71.0;Comedy, Adventure, Family; Released; English;AU
2969;Secretary;09/20/2002 ;68.0;Comedy, Drama, Romance; Released; English;US
2970;Collateral;10/14/2004 ;72.0;Drama, Crime, Thriller; Released; English;AU
2971;The Portable Door;03/23/2023 ;63.0;Fantasy, Adventure, Comedy; Released; English;AU
2972;Sputnik;04/23/2020 ;65.0;Science Fiction, Drama, Horror; Released; Russian;RU
2973;Remember Me;03/12/2010;71.0;Drama, Romance; Released; English;US
2974;Hidden Desire;11/15/1991 ;40.0;Romance, Drama; Released; Cantonese;HK
2975;Killing Me Softly;06/21/2002 ;55.0;Thriller; Released; English;GB
2976;Skyscraper;07/12/2018;63.0;Action, Thriller; Released; English;AU
2977;The Protector 2;10/23/2013 ;60.0;Action; Released; Thai;TH
2978;Creed;01/01/2010;80.0;Horror; Released; English;US
2979;Indecent Woman;09/18/1999 ;45.0;Thriller, Crime; Released; Cantonese;HK
2980;The Bodyguard;01/14/1993 ;67.0;Thriller, Action, Drama, Music, Romance; Released; English;AU
2981;The Art of Racing in the Rain;09/26/2019 ;82.0;Drama, Romance, Comedy; Released; English;AU
2982;Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion;02/15/2019 ;78.0;Action, Adventure, Comedy, Fantasy, Romance, Animation; Released; Japanese;JP
2983;Rape Zombie: Lust of the Dead 4;08/02/2014;68.0;Horror; Released; Japanese;JP
2984;Ravenous;10/20/2017 ;59.0;Horror, Drama, Science Fiction; Released; French;CA
2985;42;05/01/2013;71.0;Drama; Released; English;AU
2986;A Few Good Men;12/17/1992 ;75.0;Drama; Released; English;AU
2987;Friday the 13th Part 2;05/01/1981;61.0;Horror, Thriller; Released; English;US
2988;Barbie & Chelsea: The Lost Birthday;03/27/2021 ;71.0;Animation; Released; English;AU
2989;The Raid 2;03/28/2014 ;76.0;Action, Crime, Thriller; Released; Indonesian;AU
2990;Y Tu Mamá También;06/08/2001;74.0;Drama, Romance; Released; Spanish, Castilian;MX
2991;Tokyo Ghoul;07/29/2017 ;70.0;Action, Drama, Thriller; Released; Japanese;JP
2992;Father There Is Only One 2;07/29/2020 ;75.0;Comedy, Family; Released; Spanish, Castilian;ES
2993;The Last Survivors;06/12/2014;63.0;Horror, Thriller, Action; Released; English;US
2994;Johnny English Reborn;10/07/2011;62.0;Crime, Adventure, Action, Comedy, Thriller; Released; English;AU
2995;Hollow Man;08/24/2000 ;59.0;Action, Science Fiction, Thriller; Released; English;AU
2996;Allegiant;04/14/2016 ;61.0;Adventure, Science Fiction, Action, Mystery; Released; English;AU
2997;Covet: Island of Desire;05/04/2017;42.0;Romance; Released; Korean;KR
2998;Outcast;02/27/2015 ;51.0;Action; Released; English;US
2999;Saga of Tanya the Evil: The Movie;02/08/2019;81.0;Animation, Action, War, Fantasy; Released; Japanese;JP
3000;Kronk's New Groove;11/12/2005;64.0;Animation, Comedy, Family; Released; English;AU
3001;El Camino: A Breaking Bad Movie;10/11/2019;69.0;Crime, Drama, Thriller, Action; Released; English;AU
3002;Tokyo Revengers;07/09/2021;79.0;Action, Drama; Released; Japanese;JP
3003;Adultery Alumni Association 2;02/18/2019 ;77.0;Drama, Romance; Released; Korean;KR
3004;Fat Ass Zombies;02/18/2020 ;51.0;Horror, Comedy; Released; English;US
3005;Tubero;10/21/2022 ;58.0;Drama; Released; Tagalog;PH
3006;The Golden Compass;12/12/2007;60.0;Adventure, Fantasy; Released; English;AU
3007;Dual;04/15/2022 ;61.0;Science Fiction, Comedy; Released; English;US
3008;The Wonderful Summer of Mickey Mouse;07/08/2022;63.0;Animation, Comedy; Released; English;AU
3009;The Boy;01/22/2016 ;59.0;Horror, Thriller, Mystery; Released; English;US
3010;Girl in the Picture;07/06/2022;73.0;Documentary; Released; English;US
3011;Bambi II;05/26/2006 ;65.0;Animation, Drama, Family; Released; English;AU
3012;Another Cinderella Story;04/29/2009 ;68.0;Comedy, Music; Released; English;AU
3013;The Day the Earth Stood Still;12/17/2008 ;56.0;Drama, Science Fiction, Thriller; Released; English;AU
3014;The Day the Earth Stood Still;12/17/2008 ;56.0;Drama, Science Fiction, Thriller; Released; English;AU
3015;Fantastic Mr. Fox;01/01/2010;78.0;Adventure, Animation, Comedy, Family; Released; English;AU
3016;Bordello of Blood;08/16/1996 ;59.0;Horror, Comedy; Released; English;US
3017;Virgin Territory;12/17/2007 ;45.0;Adventure, Action, Comedy, Romance; Released; English;US
3018;Star Trek: The Motion Picture;12/21/1979 ;65.0;Science Fiction, Adventure, Mystery; Released; English;AU
3019;Dilwale Dulhania Le Jayenge;08/07/2007;86.0;Comedy, Drama, Romance; Released; Hindi;AU
3020;Unforgiven;02/11/1993;79.0;Western; Released; English;AU
3021;The Human Centipede 3 (Final Sequence);06/24/2015 ;37.0;Horror; Released; English;AU
3022;Ghostbusters II;08/15/1989 ;65.0;Comedy, Fantasy; Released; English;AU
3023;Primeval;01/12/2007;61.0;Adventure, Horror; Released; English;US
3024;Justice League vs. Teen Titans;03/29/2016 ;74.0;Science Fiction, Action, Animation, Adventure, Comedy; Released; English;AU
3025;Surviving Paradise: A Family Tale;03/03/2022;70.0;Documentary; Released; English;GB
3026;Mortal Kombat;12/26/1995 ;58.0;Action, Fantasy; Released; English;AU
3027;Mortal Kombat;12/26/1995 ;58.0;Action, Fantasy; Released; English;AU
3028;The Scorpion King 3: Battle for Redemption;01/17/2012 ;45.0;Action, Adventure, Fantasy, Drama; Released; English;AU
3029;Step Up All In;08/18/2014 ;68.0;Romance, Drama, Music; Released; English;AU
3030;Inuyasha the Movie: Affections Touching Across Time;12/15/2001 ;77.0;Action, Animation, Adventure, Fantasy; Released; Japanese;JP
3031;Jason X;04/26/2002 ;48.0;Horror, Science Fiction; Released; English;US
3032;Mighty Morphin Power Rangers: The Movie;06/30/1995 ;58.0;Action, Adventure, Science Fiction, Fantasy; Released; English;US
3033;Cinderella;09/03/2021;64.0;Fantasy, Romance, Comedy; Released; English;AU
3034;Cinderella;09/03/2021;64.0;Fantasy, Romance, Comedy; Released; English;AU
3035;A Cinderella Story: If the Shoe Fits;08/16/2016 ;72.0;Comedy, Family, Fantasy, Music; Released; English;AU
3036;Naruto to Boruto: The Live 2019;05/05/2019;75.0;Animation; Released; Japanese;JP
3037;Descendants of Adultery;09/30/2016 ;47.0;Romance; Released; Korean;KR
3038;The Sorcerer and the White Snake;09/29/2011 ;64.0;Action, Fantasy; Released; Chinese;HK
3039;The Ridiculous 6;12/11/2015;52.0;Western, Comedy; Released; English;US
3040;Police Story;01/01/1986;75.0;Action, Crime, Thriller; Released; Cantonese;AU
3041;Red Dawn;11/29/2012 ;57.0;Action, Thriller; Released; English;AU
3042;Return to the Blue Lagoon;08/02/1991;63.0;Adventure, Drama; Released; English;US
3043;The Tourist;12/26/2010 ;62.0;Action, Thriller, Romance; Released; English;AU
3044;Sex and Zen;11/30/1991 ;57.0;Drama, Adventure, Comedy, Romance; Released; Cantonese;HK
3045;30 Miles from Nowhere;11/24/2018 ;45.0;Horror, Comedy; Released; English;AU
3046;Cold Pursuit;02/07/2019;57.0;Action, Crime, Thriller; Released; English;AU
3047;The Killing of a Sacred Deer;11/03/2017;70.0;Drama, Thriller, Mystery; Released; English;AU
3048;The Babadook;05/22/2014 ;65.0;Drama, Horror; Released; English;AU
3049;Dirty Dancing;01/07/1988;74.0;Drama, Music, Romance; Released; English;AU
3050;Jan Dara: The Beginning;09/06/2012;55.0;Drama, Romance; Released; Thai;TH
3051;Airplane!;12/12/1980;73.0;Comedy; Released; English;AU
3052;Captain Underpants: The First Epic Movie;06/02/2017;62.0;Action, Animation, Comedy, Family; Released; English;US
3053;Jason Isbell: Running With Our Eyes Closed;04/07/2023;0.0;Documentary, Music; Released; English;US
3054;Containment;07/09/2015;60.0;Thriller, Horror, Science Fiction; Released; English;GB
3055;Rock Dog 2: Rock Around the Park;12/11/2021;67.0;Animation, Comedy, Music, Family; Released; English;CN
3056;Crystal Skulls;09/06/2014;50.0;Adventure, Science Fiction, TV Movie, Horror, Fantasy, Mystery; Released; English;US
3057;Exorcist II: The Heretic;06/17/1977 ;45.0;Drama, Horror, Thriller; Released; English;US
3058;One True Loves;04/13/2023 ;55.0;Romance, Drama, Comedy; Released; English;AU
3059;Contraband;01/12/2012;63.0;Thriller, Action, Drama, Crime; Released; English;AU
3060;Remember the Titans;01/25/2001 ;76.0;Drama; Released; English;AU
3061;The Crow;06/10/1994;75.0;Fantasy, Action, Thriller; Released; English;AU
3062;Mad Max 2;12/24/1981 ;74.0;Adventure, Action, Thriller, Science Fiction; Released; English;AU
3063;Night of the Living Dead;10/19/1990 ;68.0;Horror, Thriller; Released; English;US
3064;Night of the Living Dead;10/19/1990 ;68.0;Horror, Thriller; Released; English;US
3065;Ice Age: The Great Egg-Scapade;03/20/2016 ;64.0;Adventure, Animation, Comedy, Family, TV Movie; Released; English;US
3066;Amélie;12/26/2001 ;79.0;Comedy, Romance; Released; French;AU
3067;The Book of Eli;04/15/2010 ;68.0;Action, Thriller, Science Fiction; Released; English;AU
3068;Zombie Flesh Eaters;08/25/1979 ;66.0;Horror; Released; Italian;IT
3069;Quantum of Solace;10/31/2008 ;63.0;Adventure, Action, Thriller, Crime; Released; English;AU
3070;Carrie;10/31/1976 ;73.0;Horror, Thriller; Released; English;US
3071;Carrie;10/31/1976 ;73.0;Horror, Thriller; Released; English;US
3072;Joseph of Nazareth;03/14/2000 ;60.0;Drama, History; Released; English;US
3073;Running with the Devil: The Wild World of John McAfee;08/24/2022 ;66.0;Documentary; Released; English;GB
3074;Bicentennial Man;12/26/1999 ;72.0;Science Fiction, Comedy, Drama; Released; English;AU
3075;Amores Perros;06/16/2000 ;76.0;Drama, Thriller; Released; Spanish, Castilian;MX
3076;Paranormal Activity: Tokyo Night;11/20/2010 ;60.0;Horror, Thriller; Released; Japanese;JP
3077;Gnomeo & Juliet;02/17/2011 ;58.0;Animation, Family; Released; English;AU
3078;Star Trek: Nemesis;02/06/2003;63.0;Science Fiction, Action, Adventure, Thriller; Released; English;AU
3079;Bound;03/20/1997 ;72.0;Drama, Thriller; Released; English;AU
3080;Evangelion: 3.0 You Can (Not) Redo;07/01/2013;73.0;Animation, Science Fiction, Action, Drama; Released; Japanese;AU
3081;Ocean's Twelve;12/09/2004;66.0;Thriller, Crime; Released; English;AU
3082;Primal Fear;03/06/1996;76.0;Crime, Drama, Mystery, Thriller; Released; English;AU
3083;The Foreigner;10/19/2017 ;69.0;Action, Thriller; Released; English;AU
3084;Friday the 13th Part VII: The New Blood;05/13/1988 ;54.0;Horror, Thriller; Released; English;US
3085;Dune;12/14/1984 ;62.0;Action, Science Fiction, Adventure; Released; English;AU
3086;Dune;12/14/1984 ;62.0;Action, Science Fiction, Adventure; Released; English;AU
3087;Pokémon: The Movie 2000;09/07/2000;67.0;Adventure, Fantasy, Animation, Science Fiction, Family; Released; Japanese;AU
3088;The Funeral Home;10/08/2020;46.0;Horror; Released; Spanish, Castilian;ES
3089;Folie à Famille;03/01/2023;60.0;Comedy, Drama, Family; Released; Spanish, Castilian;ES
3090;Chasing Mavericks;10/26/2012 ;70.0;Drama; Released; English;US
3091;The Three Musketeers;10/14/2011 ;58.0;Adventure, Action, Thriller; Released; English;AU
3092;Through My Window: Across the Sea;06/23/2023 ;0.0;Romance, Drama; In Production; Spanish, Castilian;ES
3093;Memento;11/06/2000;82.0;Mystery, Thriller; Released; English;AU
3094;Slayers;10/21/2022 ;44.0;Horror, Comedy, Fantasy; Released; English;US
3095;The Karate Kid Part II;07/31/1986 ;63.0;Adventure, Drama, Action, Romance, Family; Released; English;AU
3096;Notting Hill;06/10/1999;73.0;Romance, Comedy, Drama; Released; English;AU
3097;That Malicious Age;03/11/1975;66.0;Drama, Romance; Released; Italian;IT
3098;The Ritual Killer;03/10/2023;59.0;Action, Thriller; Released; English;US
3099;Beauty in Rope Hell;08/26/1983 ;54.0;Drama; Released; Japanese;JP
3100;Bodies Bodies Bodies;09/15/2022 ;65.0;Comedy, Horror, Mystery; Released; English;AU
3101;Piranha 3DD;06/01/2012;44.0;Horror, Thriller, Comedy; Released; English;US
3102;One Piece Film: Z;09/15/2014 ;75.0;Animation, Fantasy, Action, Adventure; Released; Japanese;AU
3103;Only the Brave;09/22/2017 ;74.0;Drama, Action, History; Released; English;AU
3104;Miranda;10/15/1985 ;52.0;Comedy, Romance; Released; Italian;IT
3105;Sijjin 6;08/09/2019;56.0;Horror; Released; Turkish;TR
3106;Robin Hood;02/01/2019;59.0;Adventure, Action, Thriller; Released; English;AU
3107;Robin Hood;02/01/2019;59.0;Adventure, Action, Thriller; Released; English;AU
3108;Neighbors 2: Sorority Rising;05/12/2016;58.0;Comedy; Released; English;AU
3109;Smurfs: The Lost Village;03/30/2017 ;63.0;Family, Adventure, Animation, Comedy; Released; English;AU
3110;Dawn of the Dead;10/01/1985;75.0;Horror; Released; English;AU
3111;Dawn of the Dead;10/01/1985;75.0;Horror; Released; English;AU
3112;Big Brother;08/16/2018 ;76.0;Action, Drama, Comedy; Released; Chinese;HK
3113;The Outpost;02/01/2021;69.0;War, Drama, History, Action; Released; English;AU
3114;Leprechaun Returns;12/11/2018;59.0;Horror, Fantasy, Comedy; Released; English;US
3115;GoldenEye;11/23/1995 ;69.0;Adventure, Action, Thriller; Released; English;AU
3116;Sex Doll;12/07/2016;58.0;Drama, Thriller, Mystery; Released; French;FR
3117;Cinema Paradiso;12/26/1989 ;85.0;Drama, Romance; Released; Italian;AU
3118;American History X;05/06/1999;84.0;Drama; Released; English;AU
3119;Code 8;12/24/2019 ;62.0;Science Fiction, Action, Crime, Thriller, Drama; Released; English;AU
3120;Vacancy;12/19/2007 ;62.0;Horror, Thriller; Released; English;AU
3121;Who Framed Roger Rabbit;07/12/1988;75.0;Fantasy, Animation, Comedy, Crime; Released; English;AU
3122;Doblemente Embarazada 2;08/05/2022;74.0;Comedy; Released; Spanish, Castilian;MX
3123;On the Come Up;09/23/2022 ;59.0;Drama, Music; Released; English;US
3124;Coming 2 America;03/05/2021;65.0;Comedy; Released; English;AU
3125;Liar Liar;06/12/1997;66.0;Comedy; Released; English;AU
3126;The Big Lebowski;04/09/1998;78.0;Comedy, Crime; Released; English;AU
3127;Goodnight Mommy;09/16/2022 ;62.0;Horror, Drama, Thriller; Released; English;US
3128;The Voyeurs;09/10/2021;67.0;Thriller; Released; English;AU
3129;Vasil;10/16/2022 ;64.0;Comedy, Drama; Released; Spanish, Castilian;PL
3130;Mirreyes contra Godínez 2: El retiro;07/21/2022 ;75.0;Comedy; Released; Spanish, Castilian;MX
3131;Hannah Montana: The Movie;06/25/2009 ;66.0;Comedy, Drama, Family, Music, Romance; Released; English;AU
3132;Veronica;08/25/2017 ;62.0;Horror; Released; Spanish, Castilian;ES
3133;Hostel: Part II;06/08/2007;58.0;Horror; Released; English;US
3134;Blockers;03/14/2018 ;63.0;Comedy; Released; English;AU
3135;National Lampoon's Christmas Vacation;11/30/1989 ;72.0;Comedy; Released; English;AU
3136;Noah's Ark;11/01/1928;60.0;Drama, War; Released; English;US
3137;The Bridge Curse;02/27/2020 ;65.0;Horror, Thriller, Mystery; Released; Chinese;TW
3138;Friday the 13th Part VIII: Jason Takes Manhattan;07/28/1989 ;50.0;Horror, Thriller; Released; English;US
3139;Pan;09/24/2015 ;60.0;Fantasy, Adventure, Family, Action; Released; English;AU
3140;Hilda and the Mountain King;12/30/2021 ;75.0;Animation, Adventure, Fantasy, Family, TV Movie; Released; English;US
3141;Born to Race: Fast Track;03/20/2014 ;66.0;Action; Released; English;US
3142;The First Time;01/23/2018 ;0.0;Romance; Released; Korean;KR
3143;21 Bridges;10/24/2019 ;68.0;Crime, Action, Drama; Released; English;AU
3144;Call Jane;10/28/2022 ;66.0;Drama, History; Released; English;US
3145;Sex and the Emperor;02/10/1994;42.0;Drama, Comedy, Romance; Released; Cantonese;HK
3146;Dive;10/24/2022 ;71.0;Drama; Released; Spanish, Castilian;MX
3147;Into the White;01/03/2013;69.0;War, Action, Drama; Released; Norwegian;AU
3148;Summer;01/20/2023 ;48.0;Drama; Released; Tagalog;PH
3149;She's the Man;03/17/2006 ;68.0;Comedy, Drama, Romance; Released; English;US
3150;Lady and the Tramp;11/12/2019;73.0;Family, Romance, Comedy; Released; English;US
3151;La Belle Verte;09/18/1996 ;72.0;Comedy; Released; French;FR
3152;Deliver Us from Evil;07/23/2014 ;62.0;Thriller, Crime, Horror; Released; English;AU
3153;Last Shoot Out;12/03/2021;64.0;Western, Action, Thriller; Released; English;US
3154;S.W.A.T.;11/27/2003 ;61.0;Action, Thriller, Crime; Released; English;AU
3155;Emmanuelle in Hong Kong;06/06/2003;20.0;Drama; Released; Cantonese;HK
3156;Heaven & Earth;12/24/1993 ;67.0;History, War, Action, Drama; Released; English;US
3157;Promising Young Woman;12/13/2020 ;75.0;Thriller, Crime, Drama; Released; English;AU
3158;[REC];05/16/2008 ;72.0;Horror, Mystery; Released; Spanish, Castilian;AU
3159;In the Realm of the Senses;10/16/1976 ;66.0;Drama, Romance; Released; Japanese;JP
3160;X-Rated 2: The Greatest Adult Stars of All-Time;10/28/2016 ;67.0;Documentary; Released; English;US
3161;The Pacifier;03/24/2005 ;61.0;Comedy, Family, Action; Released; English;AU
3162;Hostel: Part III;12/27/2011 ;51.0;Horror; Released; English;US
3163;The Secret Life of Walter Mitty;12/26/2013 ;72.0;Adventure, Comedy, Drama, Fantasy; Released; English;AU
3164;GyG 2: El Hotel de los Líos;03/24/2023 ;0.0;Comedy; Released; Spanish, Castilian;ES
3165;Mermaid Down;10/15/2019 ;67.0;Horror, Fantasy, Mystery, Thriller; Released; English;US
3166;Shrek the Halls;12/01/2012;63.0;Adventure, Animation, Comedy, Fantasy, Family; Released; English;AU
3167;Catherine Called Birdy;09/23/2022 ;62.0;Adventure, Comedy; Released; English;US
3168;Parker;03/14/2013 ;60.0;Action, Crime; Released; English;AU
3169;Goldfinger;01/02/1965;74.0;Adventure, Action, Thriller; Released; English;AU
3170;The Wolfman;02/25/2010 ;58.0;Horror, History, Drama, Thriller; Released; English;AU
3171;Resident Evil;04/25/2002 ;66.0;Horror, Action, Science Fiction; Released; English;AU
3172;David;04/06/1997;76.0;Drama, History, Adventure; Released; English;US
3173;Police Academy 2: Their First Assignment;05/02/1985;61.0;Comedy, Crime; Released; English;AU
3174;Bar Fight;11/11/2022;69.0;Comedy; Released; English;US
3175;Erotic Ghost Story V;12/01/1997;0.0;Drama, Fantasy; Released; Cantonese;HK
3176;Catwoman: Hunted;02/07/2022;60.0;Animation, Action, Crime; Released; English;AU
3177;Room in Rome;05/07/2010;64.0;Drama, Romance; Released; Spanish, Castilian;ES
3178;Tremors: A Cold Day in Hell;05/01/2018;60.0;Action, Adventure, Science Fiction, Fantasy, Comedy, Horror; Released; English;US
3179;Shattered;04/01/2022;57.0;Thriller; Released; English;AU
3180;Star Trek: Insurrection;01/01/1999;64.0;Science Fiction, Action, Adventure, Thriller; Released; English;AU
3181;The Mad Hatter;01/29/2021 ;55.0;Horror, Thriller; Released; English;US
3182;Alexander;01/20/2005 ;59.0;War, History, Action, Adventure, Drama, Romance; Released; English;AU
3183;Casablanca;12/08/1944;82.0;Drama, Romance; Released; English;AU
3184;Mr. & Mrs. Smith;06/09/2005;67.0;Action, Comedy, Drama, Thriller; Released; English;AU
3185;Pretty Young Sister;08/14/2020 ;0.0;Drama, Romance; Released; Korean;KR
3186;Stargate;02/16/1995 ;70.0;Action, Adventure, Science Fiction; Released; English;AU
3187;Drive Angry;01/30/2014 ;55.0;Fantasy, Thriller, Action, Crime; Released; English;AU
3188;Well Suited For Christmas;11/06/2022;63.0;TV Movie, Comedy, Romance, Drama; Released; English;US
3189;Night Hunter;11/11/2019;65.0;Drama, Thriller; Released; English;GB
3190;Fargo;06/14/1996 ;79.0;Crime, Drama, Thriller; Released; English;AU
3191;Portrait of a Lady on Fire;12/26/2019 ;82.0;Drama, Romance; Released; French;AU
3192;My Broken Mariko;09/30/2022 ;75.0;Drama; Released; Japanese;JP
3193;Wind River;08/10/2017;74.0;Crime, Drama, Mystery, Thriller; Released; English;AU
3194;Topside;08/06/2021;70.0;Drama; Released; English;AU
3195;Escape Plan;11/27/2013 ;67.0;Action, Thriller; Released; English;AU
3196;Mission «Sky»;11/18/2021 ;87.0;Drama, War; Released; Russian;RU
3197;Finding ʻOhana;01/29/2021 ;64.0;Action, Adventure, Comedy, Family; Released; English;US
3198;Coach Carter;05/26/2005 ;76.0;Drama, History; Released; English;AU
3199;Mazinger Z: Infinity;01/13/2018 ;68.0;Action, Science Fiction, Animation; Released; Japanese;JP
3200;L.O.L. Surprise! The Movie;10/08/2021;69.0;Animation, Family; Released; English;US
3201;Lovelace;09/26/2013 ;60.0;Drama; Released; English;AU
3202;Breach;12/18/2020 ;43.0;Science Fiction, Action, Horror; Released; English;US
3203;The Ballad of Buster Scruggs;11/15/2018 ;72.0;Western, Comedy, Drama; Released; English;AU
3204;High School Lynching;07/23/1975 ;30.0;Crime; Released; Japanese;JP
3205;30 Minutes or Less;08/11/2011;57.0;Action, Adventure, Comedy; Released; English;AU
3206;Queen of Hearts;03/28/2019 ;69.0;Drama; Released; Danish;DK
3207;Falling for Christmas;11/10/2022;63.0;Romance, Comedy, Family; Released; English;US
3208;LEGO DC: Shazam! Magic and Monsters;07/31/2020 ;74.0;Family, Adventure, Animation, Comedy; Released; English;AU
3209;The Lego Ninjago Movie;09/21/2017 ;65.0;Family, Animation, Action, Adventure, Comedy; Released; English;AU
3210;Contagion;09/08/2011;66.0;Drama, Thriller, Science Fiction; Released; English;AU
3211;Butch Cassidy and the Sundance Kid;03/05/1970;76.0;Western, Drama, Crime; Released; English;AU
3212;Iron Mask;07/01/2020;61.0;Action, Adventure, Family, Fantasy; Released; Russian;AU
3213;Jarhead;02/09/2006;66.0;Drama, War; Released; English;AU
3214;Beckett;08/13/2021 ;63.0;Crime, Mystery, Thriller; Released; English;AU
3215;Commando;02/22/1986 ;66.0;Action, Adventure, Thriller; Released; English;AU
3216;From Dusk Till Dawn;04/18/1996 ;70.0;Horror, Action, Thriller, Crime; Released; English;AU
3217;Barbie in Rock 'N Royals;09/10/2017;69.0;Animation, Music, Family; Released; English;AU
3218;Dumbo;03/28/2019 ;67.0;Family, Fantasy, Adventure; Released; English;AU
3219;Erotic Passion;03/26/1981 ;54.0;Crime, Drama; Released; Greek;GR
3220;Thunderbolt;09/08/1995;65.0;Action, Thriller; Released; Cantonese;US
3221;The Miracle of Marcelino;12/17/2010 ;78.0;Family, Drama; Released; Spanish, Castilian;MX
3222;Godzilla: The Planet Eater;11/09/2018;64.0;Animation, Science Fiction, Action, Adventure; Released; Japanese;JP
3223;Sully;09/08/2016;72.0;Drama, History; Released; English;AU
3224;The Mule;01/24/2019 ;68.0;Crime, Drama, Thriller; Released; English;AU
3225;The Last House on the Left;03/13/2009 ;64.0;Crime, Thriller, Horror, Drama; Released; English;US
3226;The Last House on the Left;03/13/2009 ;64.0;Crime, Thriller, Horror, Drama; Released; English;US
3227;Disobedience;06/14/2018 ;70.0;Drama, Romance; Released; English;AU
3228;Indecent Proposal;04/07/1993;63.0;Romance, Drama; Released; English;US
3229;The Village;09/02/2004;64.0;Drama, Mystery, Thriller; Released; English;AU
3230;The Untouchables;09/03/1987;78.0;Crime, Drama, History, Thriller; Released; English;AU
3231;7 Prisoners;11/11/2021;71.0;Drama; Released; Portuguese;BR
3232;Don't Listen;07/24/2020 ;66.0;Drama, Horror, Thriller; Released; Spanish, Castilian;ES
3233;Hard Target;08/20/1993 ;63.0;Action; Released; English;US
3234;Scooby-Doo! and the Reluctant Werewolf;11/13/1988 ;74.0;Animation, Comedy, Family, Mystery, TV Movie; Released; English;US
3235;Going in Style;06/21/2017 ;67.0;Crime, Comedy; Released; English;AU
3236;Pokémon: The First Movie;12/16/1999 ;69.0;Animation, Family, Adventure, Fantasy, Action; Released; Japanese;AU
3237;The Fugitive;09/24/1993 ;75.0;Action, Thriller, Drama; Released; English;AU
3238;Evangelion: 1.0 You Are (Not) Alone;09/10/2008;76.0;Animation, Science Fiction, Action, Drama; Released; Japanese;AU
3239;Once Upon a Time in the West;02/12/1970;83.0;Drama, Western; Released; Italian;AU
3240;Home Alone 3;04/09/1998;53.0;Comedy, Family; Released; English;AU
3241;Jack and Jill;11/11/2011;43.0;Comedy; Released; English;US
3242;127 Hours;02/10/2011;71.0;Adventure, Drama, Thriller; Released; English;AU
3243;Kill 'em All;06/06/2017;54.0;Action, Crime; Released; English;US
3244;Kingsglaive: Final Fantasy XV;08/27/2016 ;68.0;Animation, Science Fiction, Action; Released; Japanese;AU
3245;Eden Lake;12/09/2009;68.0;Horror, Thriller; Released; English;AU
3246;Ip Man 3;01/21/2016 ;70.0;Action, Drama, History; Released; Cantonese;AU
3247;Ash & Dust;03/11/2022;44.0;Crime, Thriller; Released; English;US
3248;Unbreakable;11/30/2000 ;71.0;Thriller, Drama, Mystery; Released; English;AU
3249;Equilibrium;05/14/2003 ;70.0;Action, Science Fiction, Thriller; Released; English;AU
3250;The Next Three Days;02/03/2011;71.0;Romance, Drama, Thriller, Crime; Released; English;AU
3251;The Belko Experiment;01/10/2018;62.0;Horror, Thriller; Released; English;AU
3252;Secretary Rope Discipline;05/29/1981 ;15.0;Drama; Released; Japanese;JP
3253;A Not So Merry Christmas;12/20/2022 ;69.0;Comedy; Released; Spanish, Castilian;MX
